"ITTER107","TIPO_DATO15","SEXISTAT1","ETA1","STATCIV2","TIME","Value","Flag Codes"
"017006","JAN","9","TOTAL","99","2015",2459,
"017006","JAN","9","TOTAL","99","2016",2447,
"017006","JAN","9","TOTAL","99","2017",2406,
"017006","JAN","9","TOTAL","99","2018",2386,
"019003","JAN","9","TOTAL","99","2014",2116,
"019003","JAN","9","TOTAL","99","2015",2095,
"019003","JAN","9","TOTAL","99","2016",2049,
"019003","JAN","9","TOTAL","99","2017",2053,
"019003","JAN","9","TOTAL","99","2018",2045,
"097003","JAN","9","TOTAL","99","2014",2302,
"097003","JAN","9","TOTAL","99","2015",2346,
"097003","JAN","9","TOTAL","99","2016",2328,
"097003","JAN","9","TOTAL","99","2017",2316,
"097003","JAN","9","TOTAL","99","2018",2330,
"016010","JAN","9","TOTAL","99","2014",3237,
"016010","JAN","9","TOTAL","99","2015",3215,
"016010","JAN","9","TOTAL","99","2016",3206,
"016010","JAN","9","TOTAL","99","2017",3219,
"016010","JAN","9","TOTAL","99","2018",3206,
"013009","JAN","9","TOTAL","99","2014",1789,
"013009","JAN","9","TOTAL","99","2015",1787,
"013009","JAN","9","TOTAL","99","2016",1771,
"013009","JAN","9","TOTAL","99","2017",1794,
"013009","JAN","9","TOTAL","99","2018",1805,
"016012","JAN","9","TOTAL","99","2014",3563,
"016012","JAN","9","TOTAL","99","2015",3555,
"016012","JAN","9","TOTAL","99","2016",3518,
"016012","JAN","9","TOTAL","99","2017",3490,
"016012","JAN","9","TOTAL","99","2018",3485,
"015009","JAN","9","TOTAL","99","2014",19185,
"015009","JAN","9","TOTAL","99","2015",19257,
"015009","JAN","9","TOTAL","99","2016",19187,
"015009","JAN","9","TOTAL","99","2017",19248,
"015009","JAN","9","TOTAL","99","2018",19347,
"015010","JAN","9","TOTAL","99","2014",11807,
"015010","JAN","9","TOTAL","99","2015",11884,
"015010","JAN","9","TOTAL","99","2016",11895,
"015010","JAN","9","TOTAL","99","2017",11909,
"015010","JAN","9","TOTAL","99","2018",12000,
"013012","JAN","9","TOTAL","99","2014",5063,
"013012","JAN","9","TOTAL","99","2015",5024,
"013012","JAN","9","TOTAL","99","2016",4983,
"013012","JAN","9","TOTAL","99","2017",4989,
"013012","JAN","9","TOTAL","99","2018",5019,
"012005","JAN","9","TOTAL","99","2014",4901,
"012005","JAN","9","TOTAL","99","2015",4953,
"012005","JAN","9","TOTAL","99","2016",4957,
"012005","JAN","9","TOTAL","99","2017",4903,
"012005","JAN","9","TOTAL","99","2018",4904,
"017007","JAN","9","TOTAL","99","2014",3633,
"017007","JAN","9","TOTAL","99","2015",3669,
"017007","JAN","9","TOTAL","99","2016",3660,
"017007","JAN","9","TOTAL","99","2017",3668,
"017007","JAN","9","TOTAL","99","2018",3632,
"016013","JAN","9","TOTAL","99","2014",2718,
"016013","JAN","9","TOTAL","99","2015",2709,
"016013","JAN","9","TOTAL","99","2016",2718,
"016013","JAN","9","TOTAL","99","2017",2749,
"016013","JAN","9","TOTAL","99","2018",2715,
"020002","JAN","9","TOTAL","99","2014",10113,
"020002","JAN","9","TOTAL","99","2015",10184,
"020002","JAN","9","TOTAL","99","2016",10151,
"020002","JAN","9","TOTAL","99","2017",10093,
"020002","JAN","9","TOTAL","99","2018",10069,
"015011","JAN","9","TOTAL","99","2014",8490,
"015011","JAN","9","TOTAL","99","2015",8754,
"015011","JAN","9","TOTAL","99","2016",8879,
"015011","JAN","9","TOTAL","99","2017",9008,
"015011","JAN","9","TOTAL","99","2018",9096,
"013013","JAN","9","TOTAL","99","2014",3651,
"013013","JAN","9","TOTAL","99","2015",3661,
"013013","JAN","9","TOTAL","99","2016",3587,
"013013","JAN","9","TOTAL","99","2017",3597,
"013013","JAN","9","TOTAL","99","2018",3579,
"016014","JAN","9","TOTAL","99","2014",186,
"016014","JAN","9","TOTAL","99","2015",189,
"016014","JAN","9","TOTAL","99","2016",188,
"016014","JAN","9","TOTAL","99","2017",182,
"016014","JAN","9","TOTAL","99","2018",178,
"018007","JAN","9","TOTAL","99","2014",696,
"018007","JAN","9","TOTAL","99","2015",677,
"018007","JAN","9","TOTAL","99","2016",658,
"018007","JAN","9","TOTAL","99","2017",676,
"018007","JAN","9","TOTAL","99","2018",666,
"019005","JAN","9","TOTAL","99","2014",4840,
"019005","JAN","9","TOTAL","99","2015",4814,
"019005","JAN","9","TOTAL","99","2016",4798,
"019005","JAN","9","TOTAL","99","2017",4846,
"019005","JAN","9","TOTAL","99","2018",4877,
"097004","JAN","9","TOTAL","99","2014",4082,
"097004","JAN","9","TOTAL","99","2015",4083,
"097004","JAN","9","TOTAL","99","2016",4069,
"097004","JAN","9","TOTAL","99","2017",4055,
"097004","JAN","9","TOTAL","99","2018",4052,
"015250","JAN","9","TOTAL","99","2014",11538,
"015250","JAN","9","TOTAL","99","2015",11865,
"015250","JAN","9","TOTAL","99","2016",11824,
"015250","JAN","9","TOTAL","99","2017",11935,
"015250","JAN","9","TOTAL","99","2018",12003,
"012008","JAN","9","TOTAL","99","2014",1673,
"012008","JAN","9","TOTAL","99","2015",1664,
"012008","JAN","9","TOTAL","99","2016",1656,
"012008","JAN","9","TOTAL","99","2017",1667,
"012008","JAN","9","TOTAL","99","2018",1696,
"017011","JAN","9","TOTAL","99","2014",2355,
"017011","JAN","9","TOTAL","99","2015",2338,
"017011","JAN","9","TOTAL","99","2016",2327,
"017011","JAN","9","TOTAL","99","2017",2343,
"017011","JAN","9","TOTAL","99","2018",2325,
"016019","JAN","9","TOTAL","99","2014",710,
"016019","JAN","9","TOTAL","99","2015",718,
"016019","JAN","9","TOTAL","99","2016",707,
"016019","JAN","9","TOTAL","99","2017",722,
"016019","JAN","9","TOTAL","99","2018",712,
"018008","JAN","9","TOTAL","99","2014",891,
"018008","JAN","9","TOTAL","99","2015",893,
"018008","JAN","9","TOTAL","99","2016",872,
"018008","JAN","9","TOTAL","99","2017",867,
"018008","JAN","9","TOTAL","99","2018",851,
"012009","JAN","9","TOTAL","99","2014",1550,
"012009","JAN","9","TOTAL","99","2015",1580,
"012009","JAN","9","TOTAL","99","2016",1582,
"012009","JAN","9","TOTAL","99","2017",1613,
"012009","JAN","9","TOTAL","99","2018",1616,
"015012","JAN","9","TOTAL","99","2014",17464,
"015012","JAN","9","TOTAL","99","2015",17435,
"015012","JAN","9","TOTAL","99","2016",17293,
